step,epoch,loss,grad_norm,learning_rate,entropy,mean_token_accuracy,timestamp
1010,0.4615560379298526,2.3255859375,0.62109375,2.3571832220231125e-05,2.3183091580867767,0.5311343647539616,2026-08-08T15:10:44
1015,0.4638409688106935,2.645275688171387,0.4921875,2.3557922168147028e-05,2.5756848633289335,0.5021269131451845,2026-08-08T15:12:06
1020,0.46612589969153434,2.2595142364501952,0.55078125,2.354394884880047e-05,2.4766584232449533,0.5119363687932491,2026-08-08T15:13:19
1025,0.4684108305723752,2.55169677734375,0.66015625,2.3529912342138975e-05,2.4645891577005385,0.5212718665599823,2026-08-08T15:14:30
1030,0.47069576145321607,2.004041290283203,0.546875,2.351581272847162e-05,2.078300353884697,0.5804206445813179,2026-08-08T15:15:38
1035,0.4729806923340569,2.1134464263916017,0.59765625,2.3501650088468524e-05,2.0931530430912972,0.5756234340369701,2026-08-08T15:16:53
1040,0.47526562321489774,2.4588506698608397,0.69140625,2.348742450316041e-05,2.3521455347537996,0.5199852012097835,2026-08-08T15:18:02
1045,0.4775505540957386,2.3668678283691404,0.5390625,2.3473136053938146e-05,2.2782212257385255,0.5320899195969104,2026-08-08T15:19:10
1050,0.47983548497657946,2.450523567199707,0.6015625,2.3458784822552265e-05,2.435587853193283,0.5134612459689378,2026-08-08T15:20:14
1055,0.4821204158574203,2.1976476669311524,0.55078125,2.3444370891112515e-05,2.2874782979488373,0.5331800948828459,2026-08-08T15:21:20
1060,0.4844053467382612,2.196170425415039,0.67578125,2.3429894342087362e-05,2.266716627776623,0.544901056587696,2026-08-08T15:22:35
1065,0.486690277619102,2.3134523391723634,0.51171875,2.3415355258303544e-05,2.3561593353748322,0.5390279024839402,2026-08-08T15:23:48
1070,0.48897520849994286,2.4023666381835938,0.55859375,2.34007537229456e-05,2.423326250910759,0.5109485002234578,2026-08-08T15:25:01
1075,0.4912601393807837,2.3248455047607424,0.5078125,2.338608981955536e-05,2.2521171987056734,0.5431803919374942,2026-08-08T15:26:20
1080,0.4935450702616246,2.522344779968262,0.734375,2.3371363632031503e-05,2.486150686442852,0.5197070069611073,2026-08-08T15:27:39
1085,0.49583000114246545,2.1705284118652344,0.52734375,2.335657524462906e-05,2.2766601592302322,0.545098315179348,2026-08-08T15:29:05
1090,0.4981149320233063,2.2339027404785154,0.55859375,2.3341724741958933e-05,2.1852742344141007,0.5607841454446316,2026-08-08T15:30:10
1095,0.5003998629041472,2.385414695739746,0.63671875,2.332681220898742e-05,2.3497551918029784,0.5330593779683113,2026-08-08T15:31:23
1100,0.502684793784988,2.0932897567749023,0.5859375,2.3311837731035706e-05,2.035337007045746,0.5832188367843628,2026-08-08T15:32:29
1105,0.5049697246658289,2.40441837310791,0.71875,2.329680139377941e-05,2.3799464881420134,0.5305284142494202,2026-08-08T15:33:40
1110,0.5072546555466697,2.4214942932128904,0.67578125,2.3281703283248064e-05,2.3298381090164186,0.5303434528410435,2026-08-08T15:34:53
1115,0.5095395864275105,2.1933191299438475,0.5859375,2.3266543485824637e-05,2.165953290462494,0.5597572848200798,2026-08-08T15:36:07
1120,0.5118245173083514,2.0198690414428713,0.63671875,2.3251322088245026e-05,2.1530787497758865,0.5627193331718445,2026-08-08T15:37:17
